MTU,Out Area,In Area,Physical Flow (MW)
03/09/2021,LV,LT,7987.0
03/09/2022,EE,LV,16618.8
03/09/2022,LT,LV,0.0
03/09/2022,LV,EE,0.0
03/09/2022,LV,LT,10772.5
03/09/2023,EE,LV,11564.65
03/09/2023,LT,LV,0.0
03/09/2023,LV,EE,0.0
03/09/2023,LV,LT,6330.5
03/09/2024,EE,LV,3913.25
03/09/2024,LT,LV,3017.5
03/09/2024,LV,EE,0.0
03/09/2024,LV,LT,616.5
03/10/2021,EE,LV,13252.0
03/10/2021,LT,LV,130.0
03/10/2021,LV,EE,0.0
03/10/2021,LV,LT,5730.0
03/10/2022,EE,LV,15549.1
03/10/2022,LT,LV,503.0
03/10/2022,LV,EE,0.0
03/10/2022,LV,LT,5509.0
03/10/2023,EE,LV,4218.6
03/10/2023,LT,LV,6428.0
03/10/2023,LV,EE,0.0
03/10/2023,LV,LT,182.0
03/10/2024,EE,LV,5663.35
03/10/2024,LT,LV,2790.0
03/10/2024,LV,EE,152.85000000000002
03/10/2024,LV,LT,2060.0
03/11/2021,EE,LV,7930.2
03/11/2021,LT,LV,2686.5
03/11/2021,LV,EE,0.0
03/11/2021,LV,LT,1213.5
03/11/2022,EE,LV,13130.0
03/11/2022,LT,LV,240.0
03/11/2022,LV,EE,0.0
03/11/2022,LV,LT,3762.5
03/11/2023,EE,LV,5094.0
03/11/2023,LT,LV,4475.0
03/11/2023,LV,EE,0.0
03/11/2023,LV,LT,93.0
03/11/2024,EE,LV,5514.2
03/11/2024,LT,LV,9569.0
03/11/2024,LV,EE,1024.4
03/11/2024,LV,LT,0.0
03/12/2021,EE,LV,2209.15
03/12/2021,LT,LV,3446.5
03/12/2021,LV,EE,1021.4
03/12/2021,LV,LT,1521.5
03/12/2022,EE,LV,2339.05
03/12/2022,LT,LV,731.5
03/12/2022,LV,EE,523.95
03/12/2022,LV,LT,4115.0
03/12/2023,EE,LV,3893.35
03/12/2023,LT,LV,424.5
03/12/2023,LV,EE,132.2
03/12/2023,LV,LT,4735.5
03/12/2024,EE,LV,11852.4
03/12/2024,LT,LV,0.0
03/12/2024,LV,EE,0.0
03/12/2024,LV,LT,10006.69
04/01/2021,EE,LV,5823.8
04/01/2021,LT,LV,1849.5
04/01/2021,LV,EE,0.0
04/01/2021,LV,LT,3750.0
04/01/2022,EE,LV,4901.1
04/01/2022,LT,LV,1064.0
04/01/2022,LV,EE,0.0
04/01/2022,LV,LT,3631.0
04/01/2023,EE,LV,3419.6
04/01/2023,LT,LV,0.0
04/01/2023,LV,EE,120.15
04/01/2023,LV,LT,11915.0
04/01/2024,EE,LV,0.0
04/01/2024,LT,LV,14441.5
04/01/2024,LV,EE,14134.2
04/01/2024,LV,LT,0.0
04/02/2021,EE,LV,3358.4
04/02/2021,LT,LV,186.5
04/02/2021,LV,EE,846.45
04/02/2021,LV,LT,8236.5
04/02/2022,EE,LV,815.65
04/02/2022,LT,LV,2766.0
04/02/2022,LV,EE,520.05
04/02/2022,LV,LT,726.0
04/02/2023,EE,LV,7137.6
04/02/2023,LT,LV,0.0
04/02/2023,LV,EE,0.0
04/02/2023,LV,LT,15074.0
04/02/2024,EE,LV,0.0
04/02/2024,LT,LV,5391.5
04/02/2024,LV,EE,3776.45
04/02/2024,LV,LT,0.0
04/03/2021,EE,LV,5274.05
04/03/2021,LT,LV,0.0
04/03/2021,LV,EE,62.9
04/03/2021,LV,LT,10136.0
04/03/2022,EE,LV,13291.8
04/03/2022,LT,LV,0.0
04/03/2022,LV,EE,0.0
04/03/2022,LV,LT,12096.5
04/03/2023,EE,LV,6026.3
04/03/2023,LT,LV,454.5
04/03/2023,LV,EE,0.0
04/03/2023,LV,LT,5116.0
04/03/2024,EE,LV,0.0
04/03/2024,LT,LV,2299.5
04/03/2024,LV,EE,14653.4
04/03/2024,LV,LT,599.0
04/04/2021,EE,LV,4751.8
04/04/2021,LT,LV,0.0
04/04/2021,LV,EE,139.6
04/04/2021,LV,LT,12328.5
04/04/2022,EE,LV,7537.05
04/04/2022,LT,LV,0.0
04/04/2022,LV,EE,0.0
04/04/2022,LV,LT,6786.0
04/04/2023,EE,LV,2323.5
04/04/2023,LT,LV,0.0
04/04/2023,LV,EE,0.0
04/04/2023,LV,LT,20060.0
04/04/2024,EE,LV,0.0
04/04/2024,LT,LV,2106.5
04/04/2024,LV,EE,7214.55
04/04/2024,LV,LT,833.0
04/05/2021,EE,LV,3923.85
04/05/2021,LT,LV,647.5
04/05/2021,LV,EE,71.5
04/05/2021,LV,LT,2138.5
04/05/2022,EE,LV,9764.85
04/05/2022,LT,LV,0.0
04/05/2022,LV,EE,0.0
04/05/2022,LV,LT,14092.5
04/05/2023,EE,LV,10844.45
04/05/2023,LT,LV,0.0
04/05/2023,LV,EE,0.0
04/05/2023,LV,LT,10104.5
04/05/2024,EE,LV,1793.7
04/05/2024,LT,LV,0.0
04/05/2024,LV,EE,368.0
04/05/2024,LV,LT,13045.5
04/06/2021,EE,LV,13016.35
04/06/2021,LT,LV,0.0
04/06/2021,LV,EE,0.0
04/06/2021,LV,LT,9430.5
04/06/2022,EE,LV,14413.9
04/06/2022,LT,LV,0.0
04/06/2022,LV,EE,0.0
04/06/2022,LV,LT,12412.0
04/06/2023,EE,LV,8324.3
04/06/2023,LT,LV,2812.5
04/06/2023,LV,EE,0.0
04/06/2023,LV,LT,2786.0
04/06/2024,EE,LV,1475.35
04/06/2024,LT,LV,8418.5
04/06/2024,LV,EE,807.5
04/06/2024,LV,LT,0.0
04/07/2021,EE,LV,10111.8
04/07/2021,LT,LV,2988.0
04/07/2021,LV,EE,0.0
04/07/2021,LV,LT,1345.0
04/07/2022,EE,LV,11722.3
04/07/2022,LT,LV,0.0
04/07/2022,LV,EE,0.0
04/07/2022,LV,LT,5926.5
04/07/2023,EE,LV,10657.8
04/07/2023,LT,LV,741.5
04/07/2023,LV,EE,0.0
04/07/2023,LV,LT,2760.5
04/07/2024,EE,LV,2699.35
04/07/2024,LT,LV,7512.5
04/07/2024,LV,EE,0.0
04/07/2024,LV,LT,0.0
04/08/2021,EE,LV,15140.3
04/08/2021,LT,LV,0.0
04/08/2021,LV,EE,0.0
04/08/2021,LV,LT,6023.0
04/08/2022,EE,LV,13368.0
04/08/2022,LT,LV,32.5
04/08/2022,LV,EE,0.0
04/08/2022,LV,LT,4327.5
04/08/2023,EE,LV,11244.3
04/08/2023,LT,LV,225.5
04/08/2023,LV,EE,0.0
04/08/2023,LV,LT,3838.5
04/08/2024,EE,LV,4325.8
04/08/2024,LT,LV,4679.5
04/08/2024,LV,EE,0.0
04/08/2024,LV,LT,65.0
04/09/2021,EE,LV,17671.55
04/09/2021,LT,LV,0.0
04/09/2021,LV,EE,0.0
04/09/2021,LV,LT,10370.5
04/09/2022,EE,LV,16812.25
04/09/2022,LT,LV,0.0
04/09/2022,LV,EE,0.0
04/09/2022,LV,LT,12058.5
04/09/2023,EE,LV,10327.2
04/09/2023,LT,LV,0.0
04/09/2023,LV,EE,0.0
04/09/2023,LV,LT,7401.0
04/09/2024,EE,LV,2863.15
04/09/2024,LT,LV,3912.0
04/09/2024,LV,EE,122.35
04/09/2024,LV,LT,580.0
04/10/2021,EE,LV,16007.35
04/10/2021,LT,LV,224.0
04/10/2021,LV,EE,0.0
04/10/2021,LV,LT,12363.0
04/10/2022,EE,LV,16675.35
04/10/2022,LT,LV,203.0
04/10/2022,LV,EE,0.0
04/10/2022,LV,LT,6417.0
